price,quantity,side,timestamp,pair
9115.80,0.09,sell,2018-04-23T21:46:13.206Z,btcusd
9114.97,0.01,sell,2018-04-23T21:46:10.108Z,btcusd
9115.41,0.11,sell,2018-04-23T21:46:04.573Z,btcusd
9114.50,0.01,sell,2018-04-23T21:46:04.231Z,btcusd
9114.51,0.01,sell,2018-04-23T21:46:04.231Z,btcusd
9115.21,0.07,sell,2018-04-23T21:45:56.451Z,btcusd
9115.29,0.06,sell,2018-04-23T21:45:52.493Z,btcusd
9120.00,0.01,buy,2018-04-23T21:45:51.433Z,btcusd
9117.56,0.01,buy,2018-04-23T21:45:51.433Z,btcusd
9117.45,0.05,buy,2018-04-23T21:45:51.433Z,btcusd
9117.40,0.02,buy,2018-04-23T21:45:51.433Z,btcusd
9117.40,0.02,buy,2018-04-23T21:45:51.433Z,btcusd
9117.39,0.02,buy,2018-04-23T21:45:51.433Z,btcusd
9117.38,0.01,buy,2018-04-23T21:45:51.433Z,btcusd
9116.98,0.01,buy,2018-04-23T21:45:51.433Z,btcusd
9113.93,0.44,sell,2018-04-23T21:45:51.399Z,btcusd
9114.21,0.16,sell,2018-04-23T21:45:45.643Z,btcusd
9114.74,0.03,sell,2018-04-23T21:45:41.087Z,btcusd
9115.97,0.03,buy,2018-04-23T21:45:37.916Z,btcusd
9115.00,0.01,buy,2018-04-23T21:45:37.916Z,btcusd
9113.72,0.04,sell,2018-04-23T21:45:35.214Z,btcusd
9114.54,0.15,buy,2018-04-23T21:45:31.305Z,btcusd
9113.74,0.04,buy,2018-04-23T21:45:22.926Z,btcusd
9112.53,0.05,buy,2018-04-23T21:45:13.086Z,btcusd
9111.97,0.03,sell,2018-04-23T21:45:07.005Z,btcusd
9112.60,0.04,sell,2018-04-23T21:44:59.971Z,btcusd
9111.70,0.04,sell,2018-04-23T21:44:54.851Z,btcusd
9111.77,0.14,sell,2018-04-23T21:44:52.728Z,btcusd
9111.70,0.03,buy,2018-04-23T21:44:43.688Z,btcusd
9111.69,0.05,sell,2018-04-23T21:44:41.609Z,btcusd
